state,year,measles,pertussis,chicken_pox,mumps,rubella,statefip,population,total_population,UNDER_5,AGE5_17,bpl_region4,bpl_region9,sq_mi
AK,1952,298,,,,,2,,,,,West,Pacific,565417.5
AK,1953,2142,,,,,2,,,,,West,Pacific,565417.5
AK,1954,1492,,,,,2,,,,,West,Pacific,565417.5
AK,1955,606,,,,,2,,,,,West,Pacific,565417.5
AK,1956,2732,80,,,,2,,,,,West,Pacific,565417.5
AK,1957,1091,30,,,,2,80000,164000,38000,42000,West,Pacific,565417.5
AK,1958,1386,46,,,,2,89000,156000,35000,54000,West,Pacific,565417.5
AK,1959,2205,0,928,163,189,2,88948,191083.5,34596.5,54351.5,West,Pacific,565417.5
AK,1960,1260,4,932,1132,331,2,88896,226167,34193,54703,West,Pacific,565417.5
AK,1961,1111,9,732,1994,89,2,96000,235000,36000,60000,West,Pacific,565417.5
AK,1962,1386,117,863,145,152,2,101000,243000,37000,64000,West,Pacific,565417.5
AK,1963,2184,17,760,938,1127,2,107000,251000,38000,69000,West,Pacific,565417.5
AK,1964,1110,61,761,712,747,2,110000,256000,38000,72000,West,Pacific,565417.5
AK,1965,238,9,610,1423,451,2,115000,267000,38000,77000,West,Pacific,565417.5
AK,1966,660,0,760,737,112,2,116000,265000,37000,79000,West,Pacific,565417.5
AK,1967,157,0,559,394,381,2,118000,271000,36000,82000,West,Pacific,565417.5
AK,1968,11,3,468,705,291,2,121000,276000,34000,87000,West,Pacific,565417.5
AK,1969,30,3,470,1001,559,2,118117,,,,West,Pacific,565417.5
AK,1970,142,3,804,461,140,2,120702,,,,West,Pacific,565417.5
AK,1971,58,6,659,164,68,2,123268,,,,West,Pacific,565417.5
AK,1972,13,1,379,324,28,2,124944,,,,West,Pacific,565417.5
AK,1973,65,4,655,938,19,2,125207,,,,West,Pacific,565417.5
AK,1974,0,0,490,152,0,2,127065,,,,West,Pacific,565417.5
AK,1975,0,4,354,53,0,2,134556,,,,West,Pacific,565417.5
AL,1952,14160,,,,,1,1152000,2949000,358000,794000,South,East South Central,50647.133
AL,1953,2965,,,,,1,1167000,2976000,353000,814000,South,East South Central,50647.133
AL,1954,8495,,,,,1,1175000,2980000,348000,827000,South,East South Central,50647.133
AL,1955,2205,,,,,1,1232000,3083000,380000,852000,South,East South Central,50647.133
AL,1956,7141,907,1908,3966,740,1,1211000,3095000,361000,850000,South,East South Central,50647.133
AL,1957,9873,361,1118,1294,122,1,1229000,3136000,362000,867000,South,East South Central,50647.133
AL,1958,8402,231,1557,1190,2065,1,1223000,3138000,360000,863000,South,East South Central,50647.133
AL,1959,3983,412,1318,538,29,1,1256508.5,3202370,375201.5,881307,South,East South Central,50647.133
AL,1960,2069,104,1092,1646,45,1,1290017,3266740,390403,899614,South,East South Central,50647.133
AL,1961,2875,64,1208,435,60,1,1309000,3326000,392000,917000,South,East South Central,50647.133
AL,1962,2423,119,939,470,57,1,1317000,3342000,389000,928000,South,East South Central,50647.133
AL,1963,1336,142,1343,906,88,1,1329000,3383000,387000,942000,South,East South Central,50647.133
AL,1964,18678,313,1400,1709,3574,1,1347000,3431000,386000,961000,South,East South Central,50647.133
AL,1965,2511,57,810,459,169,1,1344000,3489000,381000,963000,South,East South Central,50647.133
AL,1966,1844,36,805,427,122,1,1335000,3524000,369000,966000,South,East South Central,50647.133
AL,1967,1398,163,546,1018,191,1,1320000,3533000,355000,965000,South,East South Central,50647.133
AL,1968,95,134,524,550,474,1,1298000,3522000,339000,959000,South,East South Central,50647.133
AL,1969,12,38,441,236,136,1,1235672,,,,South,East South Central,50647.133
AL,1970,430,26,776,401,396,1,1235427,,,,South,East South Central,50647.133
AL,1971,2035,85,538,1044,233,1,1234466,,,,South,East South Central,50647.133
AL,1972,161,30,535,860,63,1,1229039,,,,South,East South Central,50647.133
AL,1973,14,15,904,758,210,1,1220465,,,,South,East South Central,50647.133
AL,1974,21,20,570,618,66,1,1212944,,,,South,East South Central,50647.133
AL,1975,5,46,1018,453,23,1,1206815,,,,South,East South Central,50647.133
AR,1952,3533,,,,,5,697000,1838000,209000,488000,South,West South Central,52077.902
AR,1953,13232,,,,,5,687000,1807000,197000,490000,South,West South Central,52077.902
AR,1954,2637,,,,,5,676000,1779000,186000,490000,South,West South Central,52077.902
AR,1955,3119,,,,,5,705000,1784000,215000,490000,South,West South Central,52077.902
AR,1956,8605,1436,2392,2837,2285,5,657000,1739000,189000,468000,South,West South Central,52077.902
AR,1957,1469,86,638,725,481,5,663000,1757000,188000,475000,South,West South Central,52077.902
AR,1958,3404,155,542,362,3883,5,648000,1733000,182000,466000,South,West South Central,52077.902
AR,1959,898,250,609,496,28,5,658411.5,1759636,188221.5,470190,South,West South Central,52077.902
AR,1960,1410,54,688,1071,218,5,668823,1786272,194443,474380,South,West South Central,52077.902
AR,1961,1769,33,709,769,168,5,679000,1817000,199000,480000,South,West South Central,52077.902
AR,1962,1438,83,366,216,59,5,697000,1875000,205000,492000,South,West South Central,52077.902
AR,1963,1854,279,484,830,370,5,711000,1907000,210000,501000,South,West South Central,52077.902
AR,1964,1156,90,300,1014,1025,5,723000,1939000,214000,509000,South,West South Central,52077.902
AR,1965,1195,25,483,240,428,5,717000,1945000,214000,503000,South,West South Central,52077.902
AR,1966,1334,25,312,542,14,5,715000,1936000,208000,507000,South,West South Central,52077.902
AR,1967,1270,18,128,393,114,5,711000,1972000,201000,510000,South,West South Central,52077.902
AR,1968,2,13,103,30,6,5,705000,1983000,191000,514000,South,West South Central,52077.902
AR,1969,16,10,53,73,200,5,651220,,,,South,West South Central,52077.902
AR,1970,25,18,78,165,46,5,657750,,,,South,West South Central,52077.902
AR,1971,819,51,152,157,337,5,664090,,,,South,West South Central,52077.902
AR,1972,48,27,277,227,37,5,670791,,,,South,West South Central,52077.902
AR,1973,71,23,417,417,119,5,674549,,,,South,West South Central,52077.902
AR,1974,7,25,1084,256,25,5,678386,,,,South,West South Central,52077.902
AR,1975,1,25,350,187,20,5,687860,,,,South,West South Central,52077.902
AZ,1952,2955,,,,,4,318000,825000,111000,207000,West,Mountain,113231.39
AZ,1953,5079,,,,,4,343000,876000,121000,222000,West,Mountain,113231.39
AZ,1954,4958,,,,,4,362000,909000,128000,234000,West,Mountain,113231.39
AZ,1955,10872,,,,,4,376000,982000,127000,249000,West,Mountain,113231.39
AZ,1956,7170,780,4099,5221,1724,4,424000,1063000,145000,279000,West,Mountain,113231.39
AZ,1957,7998,713,3676,2738,1882,4,433000,1053000,151000,282000,West,Mountain,113231.39
AZ,1958,10400,1145,3595,3046,4298,4,489000,1152000,161000,328000,West,Mountain,113231.39
AZ,1959,9486,702,6142,3052,2665,4,503214.5,1227080.5,163983,339231.5,West,Mountain,113231.39
AZ,1960,4863,398,4087,4617,1493,4,517429,1302161,166966,350463,West,Mountain,113231.39
AZ,1961,8570,487,4748,4270,1751,4,562000,1405000,183000,379000,West,Mountain,113231.39
AZ,1962,6305,479,4183,2240,1732,4,589000,1466000,189000,400000,West,Mountain,113231.39
AZ,1963,10033,304,4898,4496,1608,4,612000,1517000,193000,419000,West,Mountain,113231.39
AZ,1964,6767,284,4331,4426,6653,4,627000,1549000,194000,433000,West,Mountain,113231.39
AZ,1965,1593,223,3607,3231,2076,4,633000,1575000,194000,439000,West,Mountain,113231.39
AZ,1966,5396,276,3546,2097,2619,4,642000,1609000,189000,453000,West,Mountain,113231.39
AZ,1967,114,75,2634,1872,1168,4,644000,1637000,183000,461000,West,Mountain,113231.39
AZ,1968,219,117,2005,2032,681,4,650000,1667000,178000,472000,West,Mountain,113231.39
AZ,1969,730,101,1746,2556,853,4,629235,,,,West,Mountain,113231.39
AZ,1970,1140,135,1732,1486,675,4,652275,,,,West,Mountain,113231.39
AZ,1971,670,103,2135,1422,428,4,674432,,,,West,Mountain,113231.39
AZ,1972,912,54,2124,1059,423,4,699599,,,,West,Mountain,113231.39
AZ,1973,22,,,,8,4,724941,,,,West,Mountain,113231.39
AZ,1974,21,,,,2,4,743297,,,,West,Mountain,113231.39
AZ,1975,85,0,0,0,1,4,747075,,,,West,Mountain,113231.39
CA,1952,41543,,,,,6,3440000,11259000,1252000,2188000,West,Pacific,155770.11
CA,1953,56038,,,,,6,3684000,11699000,1330000,2354000,West,Pacific,155770.11
CA,1954,60098,,,,,6,3946000,12160000,1406000,2540000,West,Pacific,155770.11
CA,1955,69176,,,,,6,4088000,12625000,1391000,2697000,West,Pacific,155770.11
CA,1956,32918,2086,,34681,,6,4382000,13137000,1488000,2894000,West,Pacific,155770.11
CA,1957,53627,2793,,19830,,6,4680000,13551000,1593000,3087000,West,Pacific,155770.11
CA,1958,36231,3837,,17271,,6,5030000,13953000,1645000,3385000,West,Pacific,155770.11
CA,1959,41018,2462,,14071,,6,5239743.5,14835102,1695399.5,3544344,West,Pacific,155770.11
CA,1960,22684,1957,,26190,,6,5449487,15717204,1745799,3703688,West,Pacific,155770.11
CA,1961,39201,1926,,23177,,6,5767000,16451000,1838000,3929000,West,Pacific,155770.11
CA,1962,28585,1849,,11510,,6,6007000,16990000,1878000,4129000,West,Pacific,155770.11
CA,1963,23058,1634,,18110,,6,6255000,17556000,1915000,4340000,West,Pacific,155770.11
CA,1964,34312,910,,25119,,6,6462000,18003000,1929000,4533000,West,Pacific,155770.11
CA,1965,13873,849,,17827,,6,6562000,18400000,1926000,4636000,West,Pacific,155770.11
CA,1966,15254,661,,11113,2847,6,6623000,18669000,1884000,4739000,West,Pacific,155770.11
CA,1967,5271,848,,19466,9539,6,6692000,18992000,1833000,4859000,West,Pacific,155770.11
CA,1968,1464,536,,17598,5045,6,6727000,19179000,1800000,4927000,West,Pacific,155770.11
CA,1969,916,403,,8348,7682,6,6652274,,,,West,Pacific,155770.11
CA,1970,1979,536,,6357,5498,6,6648458,,,,West,Pacific,155770.11
CA,1971,2919,379,,7690,8381,6,6638488,,,,West,Pacific,155770.11
CA,1972,3304,179,2868,7386,5084,6,6578718,,,,West,Pacific,155770.11
CA,1973,848,199,1405,5931,2541,6,6523749,,,,West,Pacific,155770.11
CA,1974,1115,588,1520,2639,1572,6,6466184,,,,West,Pacific,155770.11
CA,1975,5335,126,1352,3888,1447,6,6421717,,,,West,Pacific,155770.11
CO,1952,4931,,,,,8,452000,1329000,161000,291000,West,Mountain,103783.84
CO,1953,10492,,,,,8,486000,1404000,172000,314000,West,Mountain,103783.84
CO,1954,1872,,,,,8,512000,1450000,179000,333000,West,Mountain,103783.84
CO,1955,5082,,,,,8,530000,1506000,179000,351000,West,Mountain,103783.84
CO,1956,14674,710,,2142,1029,8,568000,1577000,189000,379000,West,Mountain,103783.84
CO,1957,3217,282,,2299,1034,8,597000,1624000,197000,400000,West,Mountain,103783.84
CO,1958,9867,197,,,1434,8,607000,1622000,197000,410000,West,Mountain,103783.84
CO,1959,7850,409,,2098,3567,8,628069.5,1687973.5,203054,425015.5,West,Mountain,103783.84
CO,1960,6794,448,,4249,1549,8,649139,1753947,209108,440031,West,Mountain,103783.84
CO,1961,4046,146,,3106,1803,8,687000,1835000,219000,468000,West,Mountain,103783.84
CO,1962,9001,100,,2731,1729,8,707000,1883000,220000,487000,West,Mountain,103783.84
