state,measles1952,population1952,measles1953,population1953,measles1954,population1954,measles1955,population1955,measles1956,population1956,measles1957,population1957,measles1958,population1958,measles1959,population1959,measles1960,population1960,measles1961,population1961,measles1962,population1962,measles1963,population1963,measles1964,population1964,measles1965,population1965,measles1966,population1966,measles1967,population1967,measles1968,population1968,measles1969,population1969,measles1970,population1970,measles1971,population1971,measles1972,population1972,measles1973,population1973,measles1974,population1974,measles1975,population1975,statefip,bpl_region4,bpl_region9,measles_rate_1952,measles_rate_1953,measles_rate_1954,measles_rate_1955,measles_rate_1956,measles_rate_1957,measles_rate_1958,measles_rate_1959,measles_rate_1960,measles_rate_1961,measles_rate_1962,measles_rate_1963,measles_rate_1964,measles_rate_1965,measles_rate_1966,measles_rate_1967,measles_rate_1968,measles_rate_1969,measles_rate_1970,measles_rate_1971,measles_rate_1972,measles_rate_1973,measles_rate_1974,measles_rate_1975,avg_2yr_measles_rate,avg_3yr_measles_rate,avg_4yr_measles_rate,avg_5yr_measles_rate,avg_6yr_measles_rate,avg_7yr_measles_rate,avg_8yr_measles_rate,avg_9yr_measles_rate,avg_10yr_measles_rate,avg_11yr_measles_rate,avg_12yr_measles_rate
AK,298,,2142,,1492,,606,,2732,,1091,80000,1386,89000,2205,88948,1260,88896,1111,96000,1386,101000,2184,107000,1110,110000,238,115000,660,116000,157,118000,11,121000,30,118117,142,120702,58,123268,13,124944,65,125207,0,127065,0,134556,2,West,Pacific,,,,,,1363.75,1557.3033,2478.9766,1417.3866,1157.2916,1372.2772,2041.1215,1009.0909,206.95653,568.96552,133.05084,9.090909,25.398546,117.64511,47.051952,10.404661,51.914032,0,0,1706.6993,1523.5635,1497.0193,1693.4106,1670.7261,1626.8724,,,,,
AL,14160,1152000,2965,1167000,8495,1175000,2205,1232000,7141,1211000,9873,1229000,8402,1223000,3983,1256508.5,2069,1290017,2875,1309000,2423,1317000,1336,1329000,18678,1347000,2511,1344000,1844,1335000,1398,1320000,95,1298000,12,1235672,430,1235427,2035,1234466,161,1229039,14,1220465,21,1212944,5,1206815,1,South,East South Central,1229.1666,254.07027,722.9787,178.97728,589.67798,803.33606,686.99921,316.9895,160.38548,219.6333,183.97874,100.52671,1386.637,186.83035,138.12733,105.90909,7.3189521,.9711315,34.805779,164.8486,13.099666,1.1471038,1.7313248,.4143137,142.25273,168.04625,166.13106,196.30275,278.08548,353.12128,382.69089,360.05603,396.3483,383.41394,453.89331
AR,3533,697000,13232,687000,2637,676000,3119,705000,8605,657000,1469,663000,3404,648000,898,658411.5,1410,668823,1769,679000,1438,697000,1854,711000,1156,723000,1195,717000,1334,715000,1270,711000,2,705000,16,651220,25,657750,819,664090,48,670791,71,674549,7,678386,1,687860,5,South,West South Central,506.88666,1926.0553,390.08875,442.41135,1309.7412,221.56863,525.30865,136.38887,210.81812,260.53018,206.31277,260.75949,159.88934,166.66667,186.57343,178.62166,.28368795,2.4569271,3.8008361,123.32666,7.1557312,10.525551,1.0318609,.14537843,233.53613,242.53415,234.60513,214.96188,266.68634,260.24097,391.4285,397.09326,396.39279,535.453,533.07251
AZ,2955,318000,5079,343000,4958,362000,10872,376000,7170,424000,7998,433000,10400,489000,9486,503214.5,4863,517429,8570,562000,6305,589000,10033,612000,6767,627000,1593,633000,5396,642000,114,644000,219,650000,730,629235,1140,652275,670,674432,912,699599,22,724941,21,743297,85,747075,4,West,Mountain,929.2453,1480.7581,1369.6133,2891.4893,1691.0377,1847.1132,2126.7893,1885.0808,939.83911,1524.911,1070.4584,1639.379,1079.2664,251.65877,840.49841,17.701864,33.692307,116.01389,174.7729,99.342857,130.3604,3.0347297,2.8252501,11.377707,1354.9187,1411.5828,1293.6469,1411.9337,1531.0763,1576.2244,1590.576,1735.1219,1698.571,1678.7699,1616.3096
CA,41543,3440000,56038,3684000,60098,3946000,69176,4088000,32918,4382000,53627,4680000,36231,5030000,41018,5239743.5,22684,5449487,39201,5767000,28585,6007000,23058,6255000,34312,6462000,13873,6562000,15254,6623000,5271,6692000,1464,6727000,916,6652274,1979,6648458,2919,6638488,3304,6578718,848,6523749,1115,6466184,5335,6421717,6,West,Pacific,1207.6454,1521.1184,1523.0106,1692.1722,751.20947,1145.8761,720.29822,782.82458,416.25937,679.74683,475.86148,368.63309,530.98114,211.4142,230.31859,78.765694,21.763044,13.769728,29.7663,43.970856,50.222549,12.998661,17.243555,83.077469,422.24728,508.08047,485.12518,544.66504,573.93726,655.64282,667.58862,781.43127,855.58917,916.09186,940.388
CO,4931,452000,10492,486000,1872,512000,5082,530000,14674,568000,3217,597000,9867,607000,7850,628069.5,6794,649139,4046,687000,9001,707000,7137,724000,3494,737000,6027,735000,1489,733000,1774,740000,530,747000,141,766725,295,778559,932,789515,540,807589,105,820450,179,816113,1173,811534,8,West,Mountain,1090.9292,2158.8477,365.625,958.86792,2583.4507,538.86096,1625.5354,1249.8617,1046.6172,588.93744,1273.1259,985.7735,474.08414,820,203.13779,239.72974,70.95047,18.389906,37.890514,118.04716,66.865692,12.797854,21.933237,144.54108,1129.4497,949.27893,973.61353,1028.8632,1128.3085,1044.1017,1236.5204,1205.67,1121.6655,1215.9548,1205.536
CT,29583,591000,1666,627000,5035,658000,31858,676000,2540,704000,10164,738000,16988,784000,13419,822257.5,11327,860515,7480,883000,17907,909000,6897,943000,5479,973000,9222,985000,951,747800,107,1006000,714,1016000,649,1028099,117,1021142,1190,1013534,1540,996013,1789,973722,183,953322,129,932766,9,Northeast,New England,5005.584,265.70972,765.19757,4712.7217,360.79544,1377.2357,2166.8367,1631.9706,1316.3048,847.11212,1969.967,731.38916,563.10382,936.24365,127.17304,10.636183,70.275589,63.126217,11.45776,117.41096,154.61646,183.72801,19.196032,13.829835,1350.6781,1182.8228,1216.1932,1299.3488,1443.9301,1434.4023,1300.2014,1679.3704,1587.9531,1467.7491,1762.5687
DC,2044,209000,303,229000,3028,242000,482,214000,1581,225000,911,234000,1496,233000,442,226317.5,1197,219635,386,237152.468598433,679,242999.0258158792,243,250617.8389277666,348,255846.4219330855,176,261063.4630749914,401,267357.1669477234,26,271509.2479787352,6,278875.0274062706,182,228585,346,223117,15,217807,2,210839,9,202558,3,192964,1,184288,11,South,South Atlantic,977.99042,132.31441,1251.2396,225.23364,702.66669,389.31625,642.06006,195.30084,544.99512,162.76448,279.42499,96.960373,136.0191,67.416557,149.98663,9.5761013,2.1515014,79.62027,155.07559,6.8868308,.94859111,4.443172,1.5546942,.54262894,188.19269,179.71661,271.03625,255.88916,320.25098,330.11743,376.6861,359.85806,448.99622,420.20694,466.6889
DE,424,108000,269,113000,1918,120000,80,125000,860,140000,342,151000,567,161000,669,162019.5,656,163039,1696,171000,427,175000,1342,182000,420,189000,532,193000,268,193000,50,194000,23,199000,517,195982,302,197818,30,199438,56,198173,8,195268,15,191800,39,188762,10,South,South Atlantic,392.59259,238.0531,1598.3334,64,614.28571,226.49007,352.17392,412.91327,402.35773,991.81287,244,737.36261,222.22223,275.64767,138.86011,25.773195,11.557789,263.79974,152.66559,15.042269,28.258139,4.0969334,7.8206463,20.660938,490.6813,657.72516,593.8833,557.68927,523.43671,481.01578,497.67453,449.48846,564.37292,534.70752,522.86462
FL,4072,963000,1316,1011000,10766,1077000,1495,1133000,5186,1261000,6149,1414000,12514,1591000,4366,1636137,4093,1681274,7079,1784000,4264,1860000,4879,1917000,7489,1970000,3830,2002000,3976,2037000,1806,2063000,534,2101000,637,2078788,1517,2124736,2365,2168707,1460,2226378,369,2296227,237,2357804,116,2362004,12,South,South Atlantic,422.84528,130.16815,999.6286,131.95058,411.26089,434.86563,786.54932,266.84808,243.44633,396.80493,229.24731,254.51225,380.15228,191.30869,195.18901,87.542412,25.416468,30.642855,71.397102,109.05116,65.577362,16.069839,10.051726,4.9110842,241.87979,293.52148,281.00272,278.17178,362.90137,373.18198,377.94183,350.6095,415.51138,389.57111,392.34393
GA,8573,1337000,3002,1347000,6743,1373000,2581,1414000,4854,1434000,6164,1468000,7040,1478000,491,1505572,236,1533144,496,1568000,431,1599000,226,1636000,222,1678000,688,1695000,240,1701000,71,1700000,5,1711000,2,1632629,19,1650735,390,1668191,214,1678117,158,1687868,3,1687330,40,1677551,13,South,South Atlantic,641.21167,222.86563,491.11435,182.53183,338.49371,419.89102,476.31934,32.61219,15.393205,31.632652,26.954346,13.814181,13.230036,40.58997,14.109347,4.1764708,.29222676,.12250181,1.1510024,23.378618,12.752389,9.3609219,.17779569,2.3844283,20.384264,24.133726,21.948597,24.081314,99.454315,145.23099,169.38882,170.84917,202.87569,204.69295,241.0695
HI,5346,183000,142,190000,588,196000,6763,205000,5850,217000,4449,230000,485,245000,4663,247956.5,4974,250913,219,259000,3175,268000,3623,272000,928,279000,4050,283000,168,290000,239,222200,30,300000,53,272812,205,276473,532,280311,95,283320,22,284390,68,282291,64,281060,15,West,Pacific,2921.3115,74.736839,300,3299.0244,2695.8525,1934.3478,197.95918,1880.5718,1982.3605,84.555984,1184.7015,1331.9854,332.61649,1431.0955,57.931034,107.56075,10,19.427298,74.148293,189.7892,33.530991,7.7358556,24.088617,22.770939,1258.3435,867.08093,1145.9009,1292.8351,1110.3557,1228.0688,1411.5419,1621.2621,1489.1359,1360.5542,1490.6173
IA,4324,866000,11196,884000,12671,893000,8083,921000,8303,939000,9706,959000,12723,962000,12736,974634,1790,987268,5531,993000,10753,1003000,6918,1007000,5402,1014000,5618,1001000,5500,993000,823,985000,165,972000,362,980464,1144,975316,2717,969172,1114,954307,284,935774,134,917487,717,901707,19,North Central/Midwest,West North Central,499.30716,1266.5159,1418.9249,877.633,884.23853,1012.0959,1322.5571,1306.7469,181.30843,556.99902,1072.0837,686.99109,532.74164,561.23877,553.87714,83.553299,16.975309,36.921295,117.29532,280.34241,116.73392,30.349209,14.605111,79.515854,879.53741,772.0246,624.34558,760.82587,854.44775,876.96887,877.87762,877.8504,931.95789,962.37225,923.78351
ID,1183,220000,2210,226000,4588,229000,719,240000,2014,935000,3969,251000,4138,252000,1771,259942,3227,267884,2051,274000,1688,278000,4731,275000,2393,274000,3209,272000,1778,2071000,413,267000,28,266000,84,260104,484,265067,273,269561,160,274513,250,276776,56,281908,73,286011,16,West,Mountain,537.72729,977.8761,2003.4934,299.58334,215.40106,1581.2749,1642.0635,681.30585,1204.6259,748.54016,607.19427,1720.3636,873.35767,1179.7794,85.852242,154.68164,10.526316,32.294773,182.59534,101.27578,58.285034,90.325752,19.864637,25.523495,1163.7789,1025.366,1070.181,992.40594,1100.6823,1169.3383,1050.0962,966.70581,1070.3846,1061.9747,1018.2875
IL,32239,2615000,16746,2723000,32983,2814000,14742,2905000,41952,3032000,10826,3173000,24413,3316000,10913,3377486.5,22448,3438973,16931,3490000,16623,3589000,11862,3669000,16906,3769000,5036,3781000,11524,3825000,1347,3849000,1291,3855000,1746,3809457,3085,3794806,3460,3777554,4656,3735270,2162,3669295,2259,3604362,1853,3543185,17,North Central/Midwest,East North Central,1232.849,614.98346,1172.1038,507.46988,1383.6411,341.19131,736.21832,323.11011,652.75299,485.12894,463.16522,323.30334,448.55399,133.19228,301.28104,34.996101,33.488976,45.833305,81.295326,91.593658,124.64962,58.921402,62.674061,52.297581,393.23428,423.86584,481.08762,449.49213,497.27982,474.98148,588.5639,579.55347,638.80847,636.64258,686.32648
IN,9041,1342000,5796,1378000,22463,1424000,3854,1480000,14914,1546000,9406,1598000,19510,1639000,5279,1669182,10225,1699364,6240,1736000,6261,1752000,4650,1784000,10331,1818000,2337,1819000,5840,1837000,693,1839000,743,1841000,528,1847358,286,1842148,3034,1835467,1401,1821992,675,1801146,285,1775106,520,1740280,18,North Central/Midwest,East North Central,673.69598,420.60959,1577.4579,260.4054,964.68304,588.61078,1190.36,316.2627,601.69568,359.44699,357.36301,260.65024,568.26184,128.47719,317.90964,37.683525,40.358501,28.581358,15.525354,165.29854,76.89386,37.476139,16.05538,29.880249,309.00662,325.82007,394.78897,379.08371,514.29645,524.91278,579.88403,544.38641,647.69354,627.04956,630.93677
KS,7862,626000,16715,636000,1443,662000,4224,685000,3662,718000,,732000,,743000,,757272.5,,771545,,799000,,812000,,818000,,833000,,6064000,,809000,200,805000,9,795000,13,756925,72,745443,1403,733191,40,722545,27,710411,184,696381,2146,684244,20,North Central/Midwest,West North Central,1255.9105,2628.1448,217.97583,616.64233,510.02786,,,,,,,,,,,24.844721,1.1320754,1.7174753,9.6586866,191.35532,5.5359874,3.8006167,26.422318,313.6308,,,,,,,,,,,
KY,11391,1072000,4260,1081000,20754,1098000,2288,1131000,18005,1118000,16701,1131000,20530,1139000,7037,1139584.5,11367,1140169,11293,1152000,6193,1165000,10384,1176000,18926,1191000,3802,1178000,4877,409800,1447,1151000,104,1141000,74,1107543,1115,1119069,3994,1129925,558,1127027,407,1121256,198,1117996,163,1116526,21,South,East South Central,1062.5933,394.07956,1890.1639,202.29884,1610.4651,1476.6578,1802.4583,617.50574,996.95746,980.29517,531.58801,882.99323,1589.0848,322.75043,1190.0928,125.71677,9.1148119,6.6814561,99.636391,353.47479,49.510792,36.29858,17.71026,14.598854,707.29065,798.29211,847.9585,801.86792,968.633,1041.208,1112.3651,1011.2466,1099.1383,1035.0421,1037.338
LA,599,1061000,4443,1085000,2943,1112000,182,1150000,1974,1184000,1178,1220000,317,1247000,74,1281178,266,1315356,48,1341000,252,1373000,182,1395000,131,1433000,144,1444000,145,1457000,160,1460000,27,1461000,125,1390515,345,1390344,1719,1389293,112,1382334,91,1364191,13,1344906,33,1338878,22,South,West South Central,56.456173,409.49307,264.65826,15.826087,166.72298,96.557381,25.421011,5.7759342,20.222662,3.5794184,18.35397,13.046595,9.1416607,9.9722996,9.9519558,10.958904,1.8480493,8.9894753,24.814003,123.732,8.1022387,6.67062,.96661031,2.4647503,15.700282,11.659994,13.800661,12.195716,14.399932,26.136709,43.709995,40.611782,63.01643,94.514305,91.342796
MA,52866,1349000,2290,1423000,23526,1470000,50619,1468000,3620,1513000,11734,1510000,39047,1607000,6704,1657912.5,22403,1708825,22635,1738000,26969,1763000,4978,799000,7265,1832000,19512,1841000,853,1846000,420,850000,385,1838000,262,1888424,482,1875005,276,1860213,1189,1831936,3953,1800570,416,1757881,106,1710408,25,Northeast,New England,3918.9028,160.92761,1600.4082,3448.1606,239.25975,777.08612,2429.8071,404.36392,1311.0178,1302.359,1529.722,623.02881,396.56113,1059.8588,46.208015,49.411766,20.946682,13.874002,25.706598,14.83701,64.904015,219.5416,23.664856,6.1973519,1076.3755,1151.7032,1191.532,1034.0983,1266.7164,1196.7693,1077.0806,1340.5339,1366.5214,1256.9219,1478.7537
MD,8977,790000,2029,822000,11348,864000,2415,914000,9153,968000,2485,1020000,6391,1070000,2471,1103034.5,3202,1136069,4247,1163432.284541724,3128,1201258.767657087,2274,1254178.507887558,3154,1298665.892193309,1427,1321720.808126926,2118,1339095.109612142,182,1355784.693764537,92,1381627.932470949,159,1379539,1361,1385447,542,1390831,15,1381851,16,1359285,24,1335232,89,1310138,24,South,South Atlantic,1136.3291,246.83699,1313.4259,264.22321,945.55786,243.62746,597.28973,224.01837,281.84909,365.04059,260.39352,181.3139,242.86462,107.96531,158.1665,13.423961,6.6588116,11.525589,98.235443,38.969509,1.0855005,1.1770895,1.7974404,6.7931776,220.85371,268.91602,272.14929,262.5231,318.31754,307.64752,387.38632,373.70154,467.67395,447.59787,504.99216
